option,mode,repeat,ttl,answered,reply_src,reply_dst,reply_type,detail,sent_summary,reply_summary
unkres40,gre,0,21,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
unkres40,gre,0,22,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
unkres40,gre,0,23,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
unkres40,gre,0,24,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
unkres40,gre,0,25,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
unkres40,gre,0,26,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
unkres40,gre,0,27,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
unkres40,gre,0,28,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
unkres40,gre,0,29,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
unkres40,gre,0,30,0,,,no-reply,timeout,IP / GRE / IP / ICMP 192.168.1.254 > 192.168.1.255 echo-request 0,
