option,mode,repeat,ttl,answered,reply_src,reply_dst,reply_type,detail,sent_summary,reply_summary
none,tcp443,0,28,1,43.131.31.97,172.21.16.8,tcp-rst,port closed or rejected,IP / TCP 172.21.16.8:40028 > 43.131.31.97:https S,IP / TCP 43.131.31.97:https > 172.21.16.8:40028 RA
none,tcp443,0,29,1,43.131.31.97,172.21.16.8,tcp-rst,port closed or rejected,IP / TCP 172.21.16.8:40029 > 43.131.31.97:https S,IP / TCP 43.131.31.97:https > 172.21.16.8:40029 RA
none,tcp443,0,30,0,,,no-reply,timeout,IP / TCP 172.21.16.8:40030 > 43.131.31.97:https S,
none,udp,0,1,0,,,no-reply,timeout,IP / UDP 172.21.16.8:40001 > 43.131.31.97:33435,
none,udp,0,2,0,,,no-reply,timeout,IP / UDP 172.21.16.8:40002 > 43.131.31.97:33436,
none,udp,0,3,0,,,no-reply,timeout,IP / UDP 172.21.16.8:40003 > 43.131.31.97:33437,
none,udp,0,4,1,10.200.46.93,172.21.16.8,icmp-time-exceeded,ttl expired,IP / UDP 172.21.16.8:40004 > 43.131.31.97:33438,IP / ICMP 10.200.46.93 > 172.21.16.8 time-exceeded ttl-zero-during-transit / IPerror / UDPerror / Padding
none,udp,0,5,1,36.110.203.205,172.21.16.8,icmp-time-exceeded,ttl expired,IP / UDP 172.21.16.8:40005 > 43.131.31.97:33439,IP / ICMP 36.110.203.205 > 172.21.16.8 time-exceeded ttl-zero-during-transit / IPerror / UDPerror
none,udp,0,6,1,36.110.243.89,172.21.16.8,icmp-time-exceeded,ttl expired,IP / UDP 172.21.16.8:40006 > 43.131.31.97:33440,IP / ICMP 36.110.243.89 > 172.21.16.8 time-exceeded ttl-zero-during-transit / IPerror / UDPerror
none,udp,0,7,1,202.97.34.78,172.21.16.8,icmp-time-exceeded,ttl expired,IP / UDP 172.21.16.8:40007 > 43.131.31.97:33441,IP / ICMP 202.97.34.78 > 172.21.16.8 time-exceeded ttl-zero-during-transit / IPerror / UDPerror
none,udp,0,8,1,202.97.12.142,172.21.16.8,icmp-time-exceeded,ttl expired,IP / UDP 172.21.16.8:40008 > 43.131.31.97:33442,IP / ICMP 202.97.12.142 > 172.21.16.8 time-exceeded ttl-zero-during-transit / IPerror / UDPerror
none,udp,0,9,1,202.97.51.193,172.21.16.8,icmp-time-exceeded,ttl expired,IP / UDP 172.21.16.8:40009 > 43.131.31.97:33443,IP / ICMP 202.97.51.193 > 172.21.16.8 time-exceeded ttl-zero-during-transit / IPerror / UDPerror / Padding
none,udp,0,10,1,4.15.125.53,172.21.16.8,icmp-time-exceeded,ttl expired,IP / UDP 172.21.16.8:40010 > 43.131.31.97:33444,IP / ICMP 4.15.125.53 > 172.21.16.8 time-exceeded ttl-zero-during-transit / IPerror / UDPerror
none,udp,0,11,1,171.75.9.179,172.21.16.8,icmp-time-exceeded,ttl expired,IP / UDP 172.21.16.8:40011 > 43.131.31.97:33445,IP / ICMP 171.75.9.179 > 172.21.16.8 time-exceeded ttl-zero-during-transit / IPerror / UDPerror
none,udp,0,12,1,62.67.66.170,172.21.16.8,icmp-time-exceeded,ttl expired,IP / UDP 172.21.16.8:40012 > 43.131.31.97:33446,IP / ICMP 62.67.66.170 > 172.21.16.8 time-exceeded ttl-zero-during-transit / IPerror / UDPerror
none,udp,0,13,0,,,no-reply,timeout,IP / UDP 172.21.16.8:40013 > 43.131.31.97:33447,
none,udp,0,14,0,,,no-reply,timeout,IP / UDP 172.21.16.8:40014 > 43.131.31.97:33448,
none,udp,0,15,0,,,no-reply,timeout,IP / UDP 172.21.16.8:40015 > 43.131.31.97:33449,
none,udp,0,16,0,,,no-reply,timeout,IP / UDP 172.21.16.8:40016 > 43.131.31.97:33450,
none,udp,0,17,0,,,no-reply,timeout,IP / UDP 172.21.16.8:40017 > 43.131.31.97:33451,
